Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY,BTC-CAD,ETH-CAD,SPY
Date,,,,,,,,,,,,,,,
2018-02-16,12841.498046875,1184.794677734375,241.7508087158203,12944.3564453125,1184.65625,243.7070703972877,12283.97265625,1143.822265625,241.00726287386956,12648.33984375,1166.5194091796875,241.0515379559752,9155221247,2973185840,160420100.0
2018-02-17,13944.2158203125,1222.3194580078125,,13977.8447265625,1225.431396484375,,12735.4677734375,1180.4581298828125,,12808.37109375,1185.4697265625,,10867672706,3169273536,
2018-02-18,13248.83984375,1160.0751953125,,14241.728515625,1233.38427734375,,12957.064453125,1148.700439453125,,13957.642578125,1221.3582763671875,,10978978615,3223489465,
2018-02-19,14102.34375,1185.777587890625,,14163.2744140625,1203.734130859375,,13190.912109375,1156.4581298828125,,13249.84375,1157.246337890625,,9613320486,2724939705,
2018-02-20,14424.5400390625,1132.5546875,240.2371368408203,15119.1318359375,1215.0755615234375,242.24650679301067,14115.0029296875,1129.2296142578125,239.44048259716516,14110.509765625,1185.4031982421875,240.79480291541992,12556080810,3219499414,86369700.0
2018-02-21,13575.7392578125,1079.378173828125,239.0421905517578,14443.2607421875,1154.0631103515625,243.17598166500747,13301.12109375,1053.7352294921875,238.944833986105,14384.6962890625,1130.9913330078125,240.6797744492158,11943840819,3215043825,98883700.0
2018-02-22,12720.357421875,1033.4510498046875,239.3520050048828,14063.8125,1111.8128662109375,241.69772011838631,12656.4365234375,1019.5489501953125,238.67928843355122,13537.642578125,1078.477783203125,239.97164009757057,10222157549,2733980479,110511300.0
2018-02-23,13006.16796875,1091.1251220703125,243.16708374023438,13332.50390625,1124.560302734375,243.16708374023438,12379.439453125,1010.3383178710938,240.10437740239422,12633.9912109375,1031.8492431640625,240.58238077740046,9771892740,2947943853,92766400.0
2018-02-24,12389.982421875,1061.2342529296875,,13380.025390625,1110.495849609375,,12054.00390625,1033.501220703125,,12989.25,1087.8472900390625,,8734578398,2432499868,
2018-02-25,12223.951171875,1068.515625,,12529.0576171875,1077.18212890625,,11877.353515625,1038.3382568359375,,12368.9599609375,1059.90087890625,,7218137591,2083075008,
