Date,BTC-CAD,ETH-CAD,SPY
2018-01-03,0.017531324288640127,0.0916362109069544,0.006325259612331102
2018-01-04,0.02185942030752175,0.014601555877808314,0.004214978565648009
2018-01-05,0.10972902513868732,0.010202652171461102,0.006663845373502175
2018-01-06,0.005593985891549469,0.04406053216656547,0.0
2018-01-07,-0.060782809674678306,0.10595814972147433,0.0
2018-01-08,-0.07771587352096665,-0.002255671016429761,0.0018285940819975366
2018-01-09,-0.03331133774551753,0.13703319064259456,0.002263509282666165
2018-01-10,0.030579425673222138,-0.029376311113058606,-0.0015301069210005291
2018-01-11,-0.10532934541257089,-0.08099840763145416,0.0072965806938751765
2018-01-12,0.03704711633017688,0.09624177597288419,0.006518854196457147
2018-01-13,0.027151900686900543,0.09677988139829496,0.0
2018-01-14,-0.04026723068635263,-0.020525493750821355,0.0
2018-01-15,0.000813399525184888,-0.05726732213985919,0.0
2018-01-16,-0.1688825454781573,-0.18472817848256007,-0.0034185318852296698
2018-01-17,-0.02478470627833984,-0.03595817340152119,0.0095315934478859
2018-01-18,0.022868467640307033,0.01901065504812527,-0.0016805329075331166
2018-01-19,0.018068307643983372,0.009185651079677504,0.0045494430344210635
2018-01-20,0.11129107424901963,0.11168326275371498,0.0
2018-01-21,-0.10099974861253458,-0.09168175834024561,0.0
2018-01-22,-0.06006132036349876,-0.04658185591126873,0.008130947943798095
2018-01-23,-0.008876951977469627,-0.02005431492986398,0.002122735077467075
2018-01-24,0.03945167000691452,0.0676834068763521,-0.0003884035821729581
2018-01-25,-0.006153862651634867,6.863812161284066e-05,0.0004238001591718721
2018-01-26,-0.013586524709995218,-0.00662587881113863,0.011577949724835168
2018-01-27,0.02410614400143185,0.04918626075883936,0.0
2018-01-28,0.030710173144094854,0.1260512829885816,0.0
2018-01-29,-0.039930501582354117,-0.049464739209052366,-0.006629976888736122
2018-01-30,-0.10527965486566127,-0.09400104465043557,-0.010256941566514799
2018-01-31,0.008489493555502214,0.041084523811833584,0.0004963541858173937
2018-02-01,-0.10591999381062711,-0.07613679152728936,-0.0011354286010599735
2018-02-02,-0.02416799368971545,-0.10489281763200653,-0.02176969215526592
2018-02-03,0.038972934554483585,0.05266961360521072,0.0
2018-02-04,-0.09699319534821227,-0.13332784866725678,0.0
2018-02-05,-0.15326729922205673,-0.1574228200266523,-0.041822562760941984
2018-02-06,0.11234641399542378,0.13381799804621708,0.019702448683736495
2018-02-07,-0.0122386429584731,-0.0407238403857777,-0.005425396664556992
2018-02-08,0.08652379470911353,0.08220705167666398,-0.03750828755789215
2018-02-09,0.0561065214756542,0.07982990501215181,0.015021504312973333
2018-02-10,-0.013171560792707981,-0.026531250199080536,0.0
2018-02-11,-0.05600599061412803,-0.052123548202781755,0.0
2018-02-12,0.09693640696807515,0.06532638911290722,0.014684365251238507
2018-02-13,-0.03616073447998691,-0.02637400996061967,0.002487488172915997
2018-02-14,0.0952055520882833,0.08369474130457588,0.013496144916782526
2018-02-15,0.07058116948214344,0.014362765462984983,0.012760129477351834
2018-02-16,0.012205480800709267,0.013292561529631763,0.00029263689582403885
2018-02-17,0.08587142788265645,0.03167196897372482,0.0
2018-02-18,-0.04986841752331084,-0.05092307275935937,0.0
2018-02-19,0.06442102978945985,0.022155798763718426,0.0
2018-02-20,0.022847002936125405,-0.044884387202243414,-0.006260660606678847
2018-02-21,-0.058844218183137786,-0.046952711651617296,-0.004974407695640726
2018-02-22,-0.06300812203985495,-0.042549613413575216,0.0012960660717937778
2018-02-23,0.022468751261933484,0.05580726080497467,0.015939325413491634
2018-02-24,-0.04737641005064008,-0.02739453847777762,0.0
2018-02-25,-0.013400442740488905,0.006861229789946188,0.0
2018-02-26,0.07534588457630642,0.03160997934488563,0.011612304791123629
2018-02-27,0.04204553263615529,0.017546014267376897,-0.012486310774192155
2018-02-28,-0.02607431824842954,-0.021764590199545908,-0.010130239020701204
2018-03-01,0.053275540203787886,0.019959105200697547,-0.014540932248987337
2018-03-02,0.016072465861178387,-0.013997205445563488,0.005155207098522574
2018-03-03,0.03637786123889142,0.0004340945179968081,0.0
2018-03-04,0.0026933218053597496,0.011734043388404558,0.0
2018-03-05,0.012371088148396714,-0.008037338683252737,0.011557888194309252
2018-03-06,-0.07070738003618138,-0.045241035486085934,0.0025348300853202943
2018-03-07,-0.07861166210714576,-0.0815472453666305,-0.0003663920453000902
2018-03-08,-0.05791063435638033,-0.06472414894253953,0.004839158763916496
2018-03-09,-0.012589847455189873,0.027777753521413873,0.017402253746254814
2018-03-10,-0.050500363784425795,-0.057655517277257484,0.0
2018-03-11,0.08046218028638541,0.053146026613343,0.0
2018-03-12,-0.036744012585325225,-0.030233998521560057,-0.0012548891907068205
2018-03-13,0.007595242868602581,-0.004257418803864543,-0.006463115598515867
2018-03-14,-0.10060417382983544,-0.11078896524821102,-0.005131068436235786
2018-03-15,0.011270330699247655,0.002588541407420708,-0.0010898267040916343
2018-03-16,0.007594796826408068,-0.012749947063913747,0.0010841831617629527
2018-03-17,-0.05054593322130341,-0.0812528049630179,0.0
2018-03-18,0.03883192911993305,-0.02549634513478538,0.0
2018-03-19,0.04860599048874814,0.03270115519491523,-0.013530286180865492
2018-03-20,0.032137615650163154,0.00019442512763756525,0.001701002720728484
2018-03-21,-0.01201844876886693,-0.005701581592323812,-0.0019197093219804895
2018-03-22,-0.019835643478361198,-0.03660994131063533,-0.02499704775775624
2018-03-23,0.01416958415712033,-0.003247163335211023,-0.02131442445401832
2018-03-24,-0.023818603007725203,-0.0244245947699393,0.0
