Date,BTC-CAD,ETH-CAD,SPY
2018-01-01,17146.615234375,970.05078125,
2018-01-02,18738.111328125,1106.174072265625,237.9091339111328
2018-01-03,19066.615234375,1207.5396728515625,239.41390991210935
2018-01-04,19483.400390625,1225.171630859375,240.42303466796875
2018-01-05,21621.294921875,1237.671630859375,242.02528381347656
2018-01-06,21742.244140625,1292.2041015625,
2018-01-07,20420.689453125,1429.1236572265625,
2018-01-08,18833.677734375,1425.9000244140625,242.4677734375
2018-01-09,18206.302734375,1621.295654296875,243.01663208007807
2018-01-10,18763.041015625,1573.66796875,242.64480590820312
2018-01-11,16786.7421875,1446.203369140625,244.4151306152344
2018-01-12,17408.642578125,1585.3885498046875,246.0085601806641
2018-01-13,17881.3203125,1738.822265625,
2018-01-14,17161.2890625,1703.132080078125,
2018-01-15,17175.248046875,1605.5982666015625,
2018-01-16,14274.6484375,1308.9990234375,245.1675567626953
2018-01-17,13920.85546875,1261.9298095703125,247.5045318603516
2018-01-18,14239.2041015625,1285.919921875,247.0885162353516
2018-01-19,14496.482421875,1297.73193359375,248.21263122558597
2018-01-20,16109.8115234375,1442.6668701171875,
2018-01-21,14482.724609375,1310.400634765625,
2018-01-22,13612.873046875,1249.3597412109375,250.2308349609375
2018-01-23,13492.0322265625,1224.3046875,250.76194763183597
2018-01-24,14024.3154296875,1307.1697998046875,250.66465759277344
2018-01-25,13938.01171875,1307.259521484375,250.770751953125
2018-01-26,13748.642578125,1298.5977783203125,253.6741943359375
2018-01-27,14080.0693359375,1362.470947265625,
2018-01-28,14512.470703125,1534.212158203125,
2018-01-29,13932.98046875,1458.32275390625,251.9923248291016
2018-01-30,12466.12109375,1321.2388916015625,249.4075469970703
2018-01-31,12571.9521484375,1375.5213623046875,249.531494140625
2018-02-01,11240.3310546875,1270.7935791015625,249.2481842041016
2018-02-02,10968.6748046875,1137.4964599609375,243.8221893310547
2018-02-03,11396.15625,1197.407958984375,
2018-02-04,10290.806640625,1037.7601318359375,
2018-02-05,8713.5625,874.3930053710938,233.62484741210935
2018-02-06,9692.5,991.4025268554688,238.227783203125
2018-02-07,9573.876953125,951.02880859375,236.9355010986328
2018-02-08,10402.2451171875,1029.2100830078125,228.0482635498047
2018-02-09,10985.87890625,1111.371826171875,231.4739532470703
2018-02-10,10841.177734375,1081.8857421875,
2018-02-11,10234.0068359375,1025.4940185546875,
2018-02-12,11226.0546875,1092.48583984375,234.8730010986328
2018-02-13,10820.1123046875,1063.672607421875,235.4571990966797
2018-02-14,11850.2470703125,1152.6964111328125,238.635009765625
2018-02-15,12686.6513671875,1169.2523193359375,241.68006896972656
2018-02-16,12841.498046875,1184.794677734375,241.7508087158203
2018-02-17,13944.2158203125,1222.3194580078125,
2018-02-18,13248.83984375,1160.0751953125,
2018-02-19,14102.34375,1185.777587890625,
2018-02-20,14424.5400390625,1132.5546875,240.2371368408203
2018-02-21,13575.7392578125,1079.378173828125,239.0421905517578
2018-02-22,12720.357421875,1033.4510498046875,239.3520050048828
2018-02-23,13006.16796875,1091.1251220703125,243.1670837402344
2018-02-24,12389.982421875,1061.2342529296875,
2018-02-25,12223.951171875,1068.515625,
2018-02-26,13144.9755859375,1102.2913818359375,245.9908599853516
2018-02-27,13697.6630859375,1121.6322021484375,242.91932678222656
2018-02-28,13340.505859375,1097.2203369140625,240.45843505859372
2018-03-01,14051.228515625,1119.119873046875,236.9620819091797
2018-03-02,14277.06640625,1103.455322265625,238.18353271484372
2018-03-03,14796.435546875,1103.934326171875,
2018-03-04,14836.287109375,1116.887939453125,
2018-03-05,15019.828125,1107.9111328125,240.9365081787109
2018-03-06,13957.8154296875,1057.7880859375,241.5472869873047
2018-03-07,12860.568359375,971.5283813476562,241.458740234375
2018-03-08,12115.8046875,908.6470336914062,242.6271209716797
2018-03-09,11963.2685546875,933.88720703125,246.84939575195312
2018-03-10,11359.119140625,880.04345703125,
2018-03-11,12273.0986328125,926.8142700195312,
2018-03-12,11822.1357421875,898.79296875,246.5395965576172
2018-03-13,11911.927734375,894.9664306640625,244.94635009765625
2018-03-14,10713.5380859375,795.8140258789062,243.6893615722656
2018-03-15,10834.283203125,797.8740234375,243.4238739013672
2018-03-16,10916.5673828125,787.701171875,243.6877593994141
2018-03-17,10364.779296875,723.6982421875,
2018-03-18,10767.263671875,705.24658203125,
2018-03-19,11290.6171875,728.3089599609375,240.39056396484372
2018-03-20,11653.470703125,728.4505615234375,240.7994384765625
2018-03-21,11513.4140625,724.2972412109375,240.3373260498047
2018-03-22,11285.0380859375,697.78076171875,234.3294982910156
2018-03-23,11444.9423828125,695.5149536132812,229.3348846435547
2018-03-24,11172.33984375,678.5272827148438,
2018-03-25,10941.7158203125,675.2291870117188,
2018-03-26,10537.5859375,628.9010620117188,235.6092834472656
2018-03-27,10088.9560546875,579.7493896484375,231.60113525390625
2018-03-28,10271.6201171875,576.2800903320312,230.91680908203125
2018-03-29,9232.2880859375,497.2811584472656,233.86737060546875
2018-03-30,8884.63671875,508.8552551269531,
2018-03-31,8991.6689453125,511.191650390625,
2018-04-01,8824.9501953125,489.46527099609375,
2018-04-02,9153.6865234375,499.33837890625,228.8194580078125
2018-04-03,9548.2939453125,533.8731689453125,231.75216674804688
2018-04-04,8740.7021484375,485.3064880371094,234.2317657470703
2018-04-05,8696.884765625,489.31060791015625,236.0802459716797
2018-04-06,8479.8896484375,473.1501770019531,230.8190155029297
2018-04-07,8830.990234375,492.3542175292969,
2018-04-08,8978.166015625,511.9693603515625,
2018-04-09,8600.181640625,506.2077331542969,231.95660400390625
2018-04-10,8604.279296875,521.4905395507812,235.64480590820312
2018-04-11,8759.177734375,541.1887817382812,234.40948486328125
